,0
ws10m_q000,2.8558603020050835
ws10m_q001,2.8936653008949276
ws10m_q010,3.1753978012065738
ws10m_q025,3.477557400276584
ws10m_q050,3.8388056361444534
ws10m_q075,4.167488011660114
ws10m_q090,4.414094561559923
ws10m_q099,4.635131320932604
ws10m_q100,4.66298435548044
wd10m_q000,128.09098603102902
wd10m_q001,129.4248479258435
wd10m_q010,139.39467188840297
wd10m_q025,150.71380992789423
wd10m_q050,165.04603117050664
wd10m_q075,180.64058127372496
wd10m_q090,192.59864258345328
wd10m_q099,204.93901324560596
wd10m_q100,206.41153726565454
mslp_q000,1015.4708297631048
mslp_q001,1015.5015391771673
mslp_q010,1015.7061557270665
mslp_q025,1015.9169132316343
mslp_q050,1016.2136811129662
mslp_q075,1016.5066672796434
mslp_q090,1016.7212642546623
mslp_q099,1016.9104145227445
mslp_q100,1016.9392111737651
ws1000hpa_q000,2.576231107171024
ws1000hpa_q001,2.6209450422887746
ws1000hpa_q010,2.966610106737383
ws1000hpa_q025,3.3536443630380015
ws1000hpa_q050,3.771968664138548
ws1000hpa_q075,4.204575092273374
ws1000hpa_q090,4.531818756143509
ws1000hpa_q099,4.90703560887752
ws1000hpa_q100,4.958741676269039
ws975hpa_q000,4.045808993866367
ws975hpa_q001,4.131099996867507
ws975hpa_q010,4.883113522107948
ws975hpa_q025,5.675507668600928
ws975hpa_q050,6.62674813534752
ws975hpa_q075,7.381804777902942
ws975hpa_q090,7.875484764052977
ws975hpa_q099,8.309331341364306
ws975hpa_q100,8.367429854393006
ws950hpa_q000,6.3946309960787335
ws950hpa_q001,6.468530729511024
ws950hpa_q010,7.0208231889096
ws950hpa_q025,7.615435461823018
ws950hpa_q050,8.381556694038453
ws950hpa_q075,9.10309214947685
ws950hpa_q090,9.61121016778946
ws950hpa_q099,10.06686879263724
ws950hpa_q100,10.128011264401097
wind_dir_deg_AFW,169.95154995361798
wind_dir_deg_DAL,160.16871947790187
wind_dir_deg_DFW,166.4066113084378
wind_dir_deg_DTO,160.24809290049473
wind_dir_deg_FTW,165.8418015219482
wind_dir_deg_RBD,171.6439851187268
wind_speed_mps_AFW,4.5528462929122
wind_speed_mps_DAL,3.6936128568020723
wind_speed_mps_DFW,4.565766000782697
wind_speed_mps_DTO,3.87172806900022
wind_speed_mps_FTW,4.283779461488755
wind_speed_mps_RBD,4.135336789766257
